iter	Passed	Remaining
898	341855	38406
899	342170	38018
900	342500	37633
901	342822	37246
902	343149	36860
903	343473	36475
904	343781	36087
905	344091	35700
906	344411	35314
907	344731	34928
908	345057	34543
909	345373	34157
910	345701	33773
911	346021	33388
912	346341	33002
913	346671	32618
914	346998	32234
915	347312	31849
916	347623	31464
917	347934	31079
918	348251	30694
919	348589	30312
920	348916	29928
921	349233	29544
922	349549	29160
923	349878	28777
924	350195	28394
925	350519	28011
926	350851	27629
927	351180	27246
928	351500	26863
929	351814	26480
930	352131	26097
931	352436	25714
932	352757	25331
933	353074	24949
934	353384	24566
935	353702	24184
936	354047	23804
937	354369	23423
938	354707	23042
939	355044	22662
940	355364	22281
941	355705	21901
942	356063	21522
943	356393	21141
944	356713	20761
945	357035	20380
946	357357	19999
947	357683	19619
948	358006	19239
949	358331	18859
950	358669	18480
951	358992	18100
952	359322	17721
953	359636	17340
954	359951	16961
955	360275	16581
956	360589	16202
957	360907	15822
958	361230	15443
959	361559	15064
960	361870	14685
961	362194	14307
962	362526	13928
963	362846	13550
964	363166	13171
965	363478	12793
966	363783	12414
967	364093	12036
968	364399	11657
969	364736	11280
970	365045	10902
971	365358	10524
972	365679	10147
973	365996	9769
974	366316	9392
975	366644	9015
976	366977	8639
977	367287	8262
978	367600	7885
979	367909	7508
980	368217	7131
981	368540	6755
982	368858	6379
983	369175	6002
984	369497	5626
985	369829	5251
986	370159	4875
987	370487	4499
988	370812	4124
989	371143	3748
990	371478	3373
991	371806	2998
992	372126	2623
993	372436	2248
994	372754	1873
995	373075	1498
996	373394	1123
997	373722	748
998	374045	374
999	374366	0
